step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
0,0.00386389,-8100.42,-8100.41,0,0,-0.183082,0.456256,0,0,0
5e-015,2.67483,-8115.57,-8110.43,0,0,-0.183143,0.456254,0,0,0
1e-014,9.09857,-8146.01,-8128.53,0,0,-0.183248,0.456246,0,0,0
1.5e-014,6.53965,-8169,-8156.44,0,0,-0.18329,0.456233,0,0,0
2e-014,8.95238,-8188.9,-8171.71,0,0,-0.183314,0.456217,0,0,0
2.5e-014,12.6371,-8205.15,-8180.88,0,0,-0.183406,0.456197,0,0,0
3e-014,15.7871,-8221.8,-8191.48,0,0,-0.183552,0.456174,0,0,0
3.5e-014,18.0839,-8241.15,-8206.42,0,0,-0.183703,0.456149,0,0,0
4e-014,18.8166,-8257.21,-8221.07,0,0,-0.183898,0.456123,0,0,0
4.5e-014,18.9173,-8272.29,-8235.95,0,0,-0.18419,0.456095,0,0,0
5e-014,17.8856,-8285.05,-8250.7,0,0,-0.184487,0.456067,0,0,0
5.5e-014,26.6354,-8297.52,-8246.36,0,0,-0.184634,0.456035,0,0,0
6e-014,31.5441,-8307.37,-8246.78,0,0,-0.184609,0.455996,0,0,0
6.5e-014,33.9163,-8315.96,-8250.82,0,0,-0.184649,0.455952,0,0,0
7e-014,34.4733,-8322.49,-8256.28,0,0,-0.184991,0.455903,0,0,0
7.5e-014,33.8952,-8326,-8260.9,0,0,-0.185494,0.455851,0,0,0
8e-014,33.0099,-8329,-8265.6,0,0,-0.185841,0.455794,0,0,0
8.5e-014,31.7444,-8330.82,-8269.85,0,0,-0.186023,0.455734,0,0,0
9e-014,31.7789,-8334.6,-8273.57,0,0,-0.186305,0.45567,0,0,0
9.5e-014,33.054,-8341.44,-8277.96,0,0,-0.18674,0.455603,0,0,0
1e-013,34.0173,-8348.64,-8283.3,0,0,-0.187115,0.455533,0,0,0
1.05e-013,45.0487,-8357.79,-8271.27,0,0,-0.187392,0.455456,0,0,0
1.1e-013,53.3279,-8369.77,-8267.35,0,0,-0.187774,0.455369,0,0,0
1.15e-013,57.9863,-8380.16,-8268.79,0,0,-0.188308,0.455275,0,0,0
1.2e-013,61.5891,-8391.32,-8273.03,0,0,-0.188828,0.455175,0,0,0
1.25e-013,62.5762,-8397.92,-8277.73,0,0,-0.189279,0.455069,0,0,0
1.3e-013,62.7097,-8401.99,-8281.55,0,0,-0.189718,0.454958,0,0,0
1.35e-013,61.7419,-8403.31,-8284.72,0,0,-0.190064,0.454841,0,0,0
1.4e-013,60.8618,-8403.71,-8286.81,0,0,-0.190242,0.454717,0,0,0
1.45e-013,59.8763,-8402.95,-8287.95,0,0,-0.190459,0.454586,0,0,0
1.5e-013,59.5932,-8402.6,-8288.15,0,0,-0.190905,0.454447,0,0,0
1.55e-013,68.5146,-8402.75,-8271.16,0,0,-0.19136,0.454295,0,0,0
1.6e-013,75.2727,-8404,-8259.43,0,0,-0.191475,0.454124,0,0,0
1.65e-013,80.3761,-8406.32,-8251.95,0,0,-0.191344,0.453938,0,0,0
1.7e-013,84.2312,-8408.94,-8247.16,0,0,-0.191366,0.45374,0,0,0
1.75e-013,86.5671,-8410.92,-8244.65,0,0,-0.191602,0.453532,0,0,0
1.8e-013,87.7579,-8411.78,-8243.23,0,0,-0.191771,0.453315,0,0,0
1.85e-013,88.0635,-8411.47,-8242.33,0,0,-0.191772,0.453089,0,0,0
1.9e-013,87.0501,-8408.66,-8241.47,0,0,-0.191786,0.452856,0,0,0
1.95e-013,85.6205,-8404.4,-8239.96,0,0,-0.191905,0.452613,0,0,0
2e-013,84.9923,-8400.87,-8237.63,0,0,-0.191996,0.452361,0,0,0
2.05e-013,93.2483,-8394.31,-8215.21,0,0,-0.191971,0.452092,0,0,0
2.1e-013,99.2928,-8388.29,-8197.58,0,0,-0.191942,0.4518,0,0,0
2.15e-013,103.79,-8383.74,-8184.39,0,0,-0.19203,0.451487,0,0,0
2.2e-013,108.007,-8382.66,-8175.21,0,0,-0.192172,0.451156,0,0,0
2.25e-013,111.882,-8383,-8168.12,0,0,-0.192274,0.450807,0,0,0
2.3e-013,114.994,-8383.23,-8162.37,0,0,-0.192395,0.450441,0,0,0
2.35e-013,116.899,-8383.43,-8158.91,0,0,-0.19258,0.450057,0,0,0
2.4e-013,117.367,-8381.93,-8156.5,0,0,-0.192675,0.44965,0,0,0
2.45e-013,116.621,-8378.26,-8154.27,0,0,-0.1926,0.449215,0,0,0
2.5e-013,114.776,-8371.57,-8151.13,0,0,-0.192587,0.448746,0,0,0
2.55e-013,122.1,-8362.8,-8128.29,0,0,-0.192834,0.448225,0,0,0
2.6e-013,126.654,-8353.83,-8110.57,0,0,-0.193109,0.447638,0,0,0
2.65e-013,129.658,-8344.55,-8095.53,0,0,-0.193089,0.446982,0,0,0
2.7e-013,132.469,-8336.56,-8082.13,0,0,-0.19287,0.446257,0,0,0
2.75e-013,135.097,-8330.56,-8071.08,0,0,-0.192704,0.445464,0,0,0
2.8e-013,138.443,-8327.82,-8061.92,0,0,-0.192523,0.44461,0,0,0
2.85e-013,141.416,-8326.76,-8055.15,0,0,-0.19215,0.443699,0,0,0
2.9e-013,144.545,-8328.15,-8050.53,0,0,-0.191643,0.442741,0,0,0
2.95e-013,146.296,-8328.43,-8047.45,0,0,-0.191093,0.441745,0,0,0
3e-013,146.91,-8328.41,-8046.25,0,0,-0.190418,0.44072,0,0,0
3.05e-013,155.505,-8327.17,-8028.5,0,0,-0.189566,0.439657,0,0,0
3.1e-013,160.25,-8323.37,-8015.59,0,0,-0.188571,0.438548,0,0,0
3.15e-013,162.583,-8316.63,-8004.37,0,0,-0.187333,0.437402,0,0,0
3.2e-013,163.09,-8307.6,-7994.37,0,0,-0.185776,0.436227,0,0,0
3.25e-013,163.561,-8299.9,-7985.76,0,0,-0.184175,0.435025,0,0,0
