step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	0.00172763	-1640.43	-1640.43	-1639.58	-0.14885	-0.696341	0	0	0	
10	0.363497	-1641.18	-1640.53	-1640.33	-0.14885	-0.696436	0	0	0	
20	0.722658	-1642.2	-1640.91	-1641.36	-0.14885	-0.696623	0	0	0	
30	0.923136	-1643.12	-1641.47	-1642.27	-0.148851	-0.696781	0	0	0	
40	1.07665	-1644.08	-1642.16	-1643.23	-0.148851	-0.696798	0	0	0	
50	1.10913	-1644.89	-1642.91	-1644.04	-0.148851	-0.696679	0	0	0	
60	1.01164	-1645.53	-1643.72	-1644.68	-0.148851	-0.696434	0	0	0	
70	0.889653	-1646.05	-1644.47	-1645.21	-0.148851	-0.69606	0	0	0	
80	0.759031	-1646.39	-1645.03	-1645.54	-0.148851	-0.695562	0	0	0	
90	0.602722	-1646.59	-1645.51	-1645.74	-0.148852	-0.695027	0	0	0	
100	0.449709	-1646.65	-1645.85	-1645.84	-0.148852	-0.661932	0	0	0	
110	2.15044	-1646.77	-1642.94	-1645.96	-0.148852	-0.661517	0	0	0	
120	3.27449	-1646.65	-1640.81	-1645.84	-0.148853	-0.658851	0	0	0	
130	3.92998	-1646.23	-1639.22	-1645.42	-0.148854	-0.658452	0	0	0	
140	4.35762	-1645.78	-1638	-1644.94	-0.148855	-0.690953	0	0	0	
150	4.60396	-1645.19	-1636.98	-1644.35	-0.148856	-0.690854	0	0	0	
160	4.74297	-1644.53	-1636.07	-1643.69	-0.148857	-0.693125	0	0	0	
170	4.95905	-1644.15	-1635.31	-1643.31	-0.148859	-0.693334	0	0	0	
180	5.14456	-1643.83	-1634.66	-1642.99	-0.14886	-0.693683	0	0	0	
190	5.20481	-1643.48	-1634.19	-1642.63	-0.148862	-0.694069	0	0	0	
200	5.24806	-1643.07	-1633.71	-1642.23	-0.148863	-0.694426	0	0	0	
210	7.15182	-1642.66	-1629.91	-1641.79	-0.148865	-0.727921	0	0	0	
220	8.35259	-1641.98	-1627.09	-1641.11	-0.148868	-0.72868	0	0	0	
230	9.04465	-1641.02	-1624.89	-1640.15	-0.14887	-0.72947	0	0	0	
